DATE,PRICE_INR,RAINFALL_MM,MAX_TEMP_C,MIN_TEMP_C,MEAN_TEMP_C,HUMIDITY_PERCENT
2011-03-08,130,0.0,33.12,20.42,26.77,64.13
2011-03-09,130,0.0,31.74,21.34,26.54,67.87
2011-03-10,150,0.0,32.55,20.91,26.73,65.17
2011-03-11,170,0.0,31.88,20.86,26.37,62.43
2011-03-12,370,0.0,33.15,21.01,27.08,60.83
2011-03-13,170,0.0,33.4,21.08,27.24,60.11
2011-03-14,250,0.0,33.02,20.78,26.9,61.53
2011-03-15,130,0.0,33.56,21.38,27.47,59.67
2011-03-16,110,0.0,33.54,21.48,27.51,58.31
2011-03-17,150,0.0,33.92,20.68,27.3,53.0
2011-03-18,170,0.0,33.6,19.84,26.72,51.34
2011-03-19,210,0.0,32.37,20.61,26.49,67.59
2011-03-20,290,0.02,32.62,22.1,27.36,67.36
2011-03-21,210,0.01,31.51,22.38,26.94,70.26
2011-03-22,210,0.0,32.7,21.92,27.31,66.46
2011-03-23,170,0.08,33.16,22.14,27.65,62.89
2011-03-24,250,0.01,32.5,21.72,27.11,61.57
2011-03-25,110,0.01,33.2,21.44,27.32,62.02
2011-03-26,210,0.01,32.78,22.22,27.5,66.13
2011-03-27,190,0.0,33.06,22.68,27.87,68.3
2011-03-28,130,0.0,33.2,23.2,28.2,67.74
2011-03-29,110,0.0,33.49,23.32,28.41,66.03
2011-03-30,90,0.0,33.66,23.46,28.56,65.3
2011-03-31,110,0.0,33.08,23.6,28.34,67.11
2011-04-01,130,0.0,31.98,22.98,27.48,66.75
2011-04-02,110,0.0,33.76,21.64,27.7,58.71
2011-04-03,110,0.0,32.3,21.1,26.7,62.62
2011-04-04,150,0.0,32.2,20.92,26.56,60.5
2011-04-05,150,0.0,32.3,20.84,26.57,58.11
2011-04-06,110,0.0,33.23,21.41,27.32,58.43
2011-04-07,110,0.0,33.72,22.2,27.96,60.37
2011-04-08,150,0.0,33.34,22.54,27.94,63.33
2011-04-09,150,0.0,33.4,23.18,28.29,66.32
2011-04-10,130,12.08,31.9,23.52,27.71,71.72
2011-04-11,150,1.3,32.58,23.2,27.89,71.3
2011-04-12,170,0.0,33.2,23.36,28.28,67.5
2011-04-13,170,0.02,32.9,23.46,28.18,68.73
2011-04-14,250,6.53,30.67,23.48,27.08,74.23
2011-04-15,210,16.36,28.22,23.48,25.85,81.87
